country,year,sex,age,suicides_no,population,suicides_per_100k pop,country-year, gdp_for_year ($) ,gdp_per_capita,generation
Argentina,1987,female,35-54 years,209,3418300,6.11,Argentina1987,"111,106,191,358",4026,Silent
Argentina,1987,female,25-34 years,89,2226200,4,Argentina1987,"111,106,191,358",4026,Boomers
Argentina,1987,female,15-24 years,93,2398400,3.88,Argentina1987,"111,106,191,358",4026,Generation X
Argentina,1987,male,5-14 years,15,3101300,0.48,Argentina1987,"111,106,191,358",4026,Generation X
Argentina,1987,female,5-14 years,14,3010700,0.47,Argentina1987,"111,106,191,358",4026,Generation X
Argentina,1988,male,75+ years,216,392000,55.1,Argentina1988,"126,206,817,196",4458,G.I. Generation
Argentina,1988,male,55-74 years,550,2079000,26.46,Argentina1988,"126,206,817,196",4458,G.I. Generation
Argentina,1988,male,35-54 years,477,3503000,13.62,Argentina1988,"126,206,817,196",4458,Silent
Argentina,1988,female,75+ years,61,602000,10.13,Argentina1988,"126,206,817,196",4458,G.I. Generation
Argentina,1988,female,55-74 years,233,2412000,9.66,Argentina1988,"126,206,817,196",4458,G.I. Generation
Argentina,1988,male,25-34 years,215,2276000,9.45,Argentina1988,"126,206,817,196",4458,Boomers
Argentina,1988,male,15-24 years,211,2524000,8.36,Argentina1988,"126,206,817,196",4458,Generation X
Argentina,1988,female,35-54 years,198,3508000,5.64,Argentina1988,"126,206,817,196",4458,Silent
Argentina,1988,female,15-24 years,101,2459000,4.11,Argentina1988,"126,206,817,196",4458,Generation X
Argentina,1988,female,25-34 years,61,2228000,2.74,Argentina1988,"126,206,817,196",4458,Boomers
Argentina,1988,male,5-14 years,20,3210000,0.62,Argentina1988,"126,206,817,196",4458,Generation X
Argentina,1988,female,5-14 years,11,3115000,0.35,Argentina1988,"126,206,817,196",4458,Generation X
Argentina,1989,male,75+ years,208,400000,52,Argentina1989,"76,636,898,036",2670,G.I. Generation
Argentina,1989,male,55-74 years,548,2105000,26.03,Argentina1989,"76,636,898,036",2670,G.I. Generation
Argentina,1989,male,35-54 years,462,3561000,12.97,Argentina1989,"76,636,898,036",2670,Silent
Argentina,1989,female,75+ years,65,622000,10.45,Argentina1989,"76,636,898,036",2670,G.I. Generation
Argentina,1989,male,25-34 years,219,2287000,9.58,Argentina1989,"76,636,898,036",2670,Boomers
Argentina,1989,female,55-74 years,201,2446000,8.22,Argentina1989,"76,636,898,036",2670,G.I. Generation
Argentina,1989,male,15-24 years,186,2575000,7.22,Argentina1989,"76,636,898,036",2670,Generation X
Argentina,1989,female,35-54 years,166,3563000,4.66,Argentina1989,"76,636,898,036",2670,Silent
Argentina,1989,female,25-34 years,83,2240000,3.71,Argentina1989,"76,636,898,036",2670,Boomers
Argentina,1989,female,15-24 years,80,2509000,3.19,Argentina1989,"76,636,898,036",2670,Generation X
Argentina,1989,male,5-14 years,18,3245000,0.55,Argentina1989,"76,636,898,036",2670,Generation X
Argentina,1989,female,5-14 years,11,3149000,0.35,Argentina1989,"76,636,898,036",2670,Generation X
Argentina,1990,male,75+ years,226,411100,54.97,Argentina1990,"141,352,368,715",4859,G.I. Generation
Argentina,1990,male,55-74 years,502,2128000,23.59,Argentina1990,"141,352,368,715",4859,G.I. Generation
Argentina,1990,male,35-54 years,439,3619000,12.13,Argentina1990,"141,352,368,715",4859,Silent
Argentina,1990,female,75+ years,61,643000,9.49,Argentina1990,"141,352,368,715",4859,G.I. Generation
Argentina,1990,male,25-34 years,182,2297000,7.92,Argentina1990,"141,352,368,715",4859,Boomers
Argentina,1990,female,55-74 years,190,2477000,7.67,Argentina1990,"141,352,368,715",4859,G.I. Generation
Argentina,1990,male,15-24 years,174,2635000,6.6,Argentina1990,"141,352,368,715",4859,Generation X
Argentina,1990,female,35-54 years,163,3622000,4.5,Argentina1990,"141,352,368,715",4859,Silent
Argentina,1990,female,15-24 years,91,2568000,3.54,Argentina1990,"141,352,368,715",4859,Generation X
Argentina,1990,female,25-34 years,76,2251000,3.38,Argentina1990,"141,352,368,715",4859,Boomers
Argentina,1990,male,5-14 years,22,3269000,0.67,Argentina1990,"141,352,368,715",4859,Generation X
Argentina,1990,female,5-14 years,14,3171000,0.44,Argentina1990,"141,352,368,715",4859,Generation X
Argentina,1991,male,75+ years,184,396000,46.46,Argentina1991,"189,719,984,268",6404,G.I. Generation
Argentina,1991,male,55-74 years,449,2130000,21.08,Argentina1991,"189,719,984,268",6404,Silent
Argentina,1991,male,35-54 years,398,3580000,11.12,Argentina1991,"189,719,984,268",6404,Boomers
Argentina,1991,male,25-34 years,214,2277000,9.4,Argentina1991,"189,719,984,268",6404,Boomers
Argentina,1991,female,75+ years,50,658000,7.6,Argentina1991,"189,719,984,268",6404,G.I. Generation
Argentina,1991,female,55-74 years,169,2508000,6.74,Argentina1991,"189,719,984,268",6404,Silent
Argentina,1991,male,15-24 years,179,2738000,6.54,Argentina1991,"189,719,984,268",6404,Generation X
Argentina,1991,female,35-54 years,133,3691000,3.6,Argentina1991,"189,719,984,268",6404,Boomers
Argentina,1991,female,25-34 years,77,2310000,3.33,Argentina1991,"189,719,984,268",6404,Boomers
Argentina,1991,female,15-24 years,61,2689000,2.27,Argentina1991,"189,719,984,268",6404,Generation X
Argentina,1991,male,5-14 years,28,3369000,0.83,Argentina1991,"189,719,984,268",6404,Millenials
Argentina,1991,female,5-14 years,9,3277000,0.27,Argentina1991,"189,719,984,268",6404,Millenials
Argentina,1992,male,75+ years,194,404900,47.91,Argentina1992,"228,788,617,202",7615,G.I. Generation
Argentina,1992,male,55-74 years,500,2150500,23.25,Argentina1992,"228,788,617,202",7615,Silent
Argentina,1992,male,35-54 years,488,3616600,13.49,Argentina1992,"228,788,617,202",7615,Boomers
Argentina,1992,male,25-34 years,227,2306200,9.84,Argentina1992,"228,788,617,202",7615,Boomers
Argentina,1992,male,15-24 years,249,2834100,8.79,Argentina1992,"228,788,617,202",7615,Generation X
Argentina,1992,female,75+ years,46,678000,6.78,Argentina1992,"228,788,617,202",7615,G.I. Generation
Argentina,1992,female,55-74 years,147,2538400,5.79,Argentina1992,"228,788,617,202",7615,Silent
Argentina,1992,female,35-54 years,140,3755500,3.73,Argentina1992,"228,788,617,202",7615,Boomers
Argentina,1992,female,25-34 years,79,2329100,3.39,Argentina1992,"228,788,617,202",7615,Boomers
Argentina,1992,female,15-24 years,79,2783500,2.84,Argentina1992,"228,788,617,202",7615,Generation X
Argentina,1992,male,5-14 years,22,3371800,0.65,Argentina1992,"228,788,617,202",7615,Millenials
Argentina,1992,female,5-14 years,13,3276800,0.4,Argentina1992,"228,788,617,202",7615,Millenials
Argentina,1993,male,75+ years,229,413600,55.37,Argentina1993,"236,741,715,015",7768,G.I. Generation
Argentina,1993,male,55-74 years,520,2171500,23.95,Argentina1993,"236,741,715,015",7768,Silent
Argentina,1993,male,35-54 years,495,3672300,13.48,Argentina1993,"236,741,715,015",7768,Boomers
Argentina,1993,male,25-34 years,233,2336300,9.97,Argentina1993,"236,741,715,015",7768,Boomers
Argentina,1993,female,75+ years,58,698400,8.3,Argentina1993,"236,741,715,015",7768,G.I. Generation
Argentina,1993,male,15-24 years,235,2932300,8.01,Argentina1993,"236,741,715,015",7768,Generation X
Argentina,1993,female,55-74 years,126,2568300,4.91,Argentina1993,"236,741,715,015",7768,Silent
Argentina,1993,female,35-54 years,144,3820400,3.77,Argentina1993,"236,741,715,015",7768,Boomers
Argentina,1993,female,25-34 years,76,2347800,3.24,Argentina1993,"236,741,715,015",7768,Boomers
Argentina,1993,female,15-24 years,73,2879300,2.54,Argentina1993,"236,741,715,015",7768,Generation X
Argentina,1993,male,5-14 years,25,3367500,0.74,Argentina1993,"236,741,715,015",7768,Millenials
Argentina,1993,female,5-14 years,16,3269800,0.49,Argentina1993,"236,741,715,015",7768,Millenials
Argentina,1994,male,75+ years,192,423100,45.38,Argentina1994,"257,440,000,000",8328,G.I. Generation
Argentina,1994,male,55-74 years,509,2192500,23.22,Argentina1994,"257,440,000,000",8328,Silent
Argentina,1994,male,35-54 years,527,3729600,14.13,Argentina1994,"257,440,000,000",8328,Boomers
Argentina,1994,male,25-34 years,226,2369000,9.54,Argentina1994,"257,440,000,000",8328,Boomers
Argentina,1994,male,15-24 years,250,3027200,8.26,Argentina1994,"257,440,000,000",8328,Generation X
Argentina,1994,female,55-74 years,135,2597400,5.2,Argentina1994,"257,440,000,000",8328,Silent
Argentina,1994,female,75+ years,34,719700,4.72,Argentina1994,"257,440,000,000",8328,G.I. Generation
Argentina,1994,female,35-54 years,160,3885600,4.12,Argentina1994,"257,440,000,000",8328,Boomers
Argentina,1994,female,15-24 years,98,2971300,3.3,Argentina1994,"257,440,000,000",8328,Generation X
Argentina,1994,female,25-34 years,72,2369900,3.04,Argentina1994,"257,440,000,000",8328,Boomers
Argentina,1994,male,5-14 years,27,3363000,0.8,Argentina1994,"257,440,000,000",8328,Millenials
Argentina,1994,female,5-14 years,11,3262900,0.34,Argentina1994,"257,440,000,000",8328,Millenials
Argentina,1995,male,75+ years,190,433800,43.8,Argentina1995,"258,031,750,000",8232,G.I. Generation
Argentina,1995,male,55-74 years,515,2214000,23.26,Argentina1995,"258,031,750,000",8232,Silent
Argentina,1995,male,35-54 years,485,3787800,12.8,Argentina1995,"258,031,750,000",8232,Boomers
Argentina,1995,male,25-34 years,218,2404900,9.06,Argentina1995,"258,031,750,000",8232,Generation X
Argentina,1995,male,15-24 years,277,3112100,8.9,Argentina1995,"258,031,750,000",8232,Generation X
Argentina,1995,female,75+ years,49,742200,6.6,Argentina1995,"258,031,750,000",8232,G.I. Generation
Argentina,1995,female,55-74 years,134,2625900,5.1,Argentina1995,"258,031,750,000",8232,Silent
Argentina,1995,female,35-54 years,139,3950100,3.52,Argentina1995,"258,031,750,000",8232,Boomers
Argentina,1995,female,15-24 years,101,3053300,3.31,Argentina1995,"258,031,750,000",8232,Generation X
Argentina,1995,female,25-34 years,62,2396900,2.59,Argentina1995,"258,031,750,000",8232,Generation X
Argentina,1995,female,5-14 years,19,3261100,0.58,Argentina1995,"258,031,750,000",8232,Millenials
Argentina,1995,male,5-14 years,15,3363300,0.45,Argentina1995,"258,031,750,000",8232,Millenials
Argentina,1996,male,75+ years,189,445800,42.4,Argentina1996,"272,149,750,000",8563,G.I. Generation
Argentina,1996,male,55-74 years,464,2235900,20.75,Argentina1996,"272,149,750,000",8563,Silent
Argentina,1996,male,35-54 years,524,3847300,13.62,Argentina1996,"272,149,750,000",8563,Boomers
Argentina,1996,male,25-34 years,226,2442900,9.25,Argentina1996,"272,149,750,000",8563,Generation X
Argentina,1996,male,15-24 years,280,3185600,8.79,Argentina1996,"272,149,750,000",8563,Generation X
Argentina,1996,female,75+ years,59,766100,7.7,Argentina1996,"272,149,750,000",8563,G.I. Generation
Argentina,1996,female,55-74 years,131,2653800,4.94,Argentina1996,"272,149,750,000",8563,Silent
Argentina,1996,female,35-54 years,176,4014100,4.38,Argentina1996,"272,149,750,000",8563,Boomers
Argentina,1996,female,15-24 years,105,3123600,3.36,Argentina1996,"272,149,750,000",8563,Generation X
Argentina,1996,female,25-34 years,52,2428400,2.14,Argentina1996,"272,149,750,000",8563,Generation X
Argentina,1996,male,5-14 years,14,3370400,0.42,Argentina1996,"272,149,750,000",8563,Millenials
Argentina,1996,female,5-14 years,9,3266800,0.28,Argentina1996,"272,149,750,000",8563,Millenials
Argentina,1997,male,75+ years,195,490152,39.78,Argentina1997,"292,859,000,000",9057,G.I. Generation
Argentina,1997,male,55-74 years,457,2252148,20.29,Argentina1997,"292,859,000,000",9057,Silent
Argentina,1997,male,35-54 years,501,3934581,12.73,Argentina1997,"292,859,000,000",9057,Boomers
Argentina,1997,male,25-34 years,213,2460112,8.66,Argentina1997,"292,859,000,000",9057,Generation X
Argentina,1997,male,15-24 years,260,3198193,8.13,Argentina1997,"292,859,000,000",9057,Generation X
Argentina,1997,female,75+ years,47,854095,5.5,Argentina1997,"292,859,000,000",9057,G.I. Generation
Argentina,1997,female,55-74 years,131,2668528,4.91,Argentina1997,"292,859,000,000",9057,Silent
Argentina,1997,female,35-54 years,165,4083427,4.04,Argentina1997,"292,859,000,000",9057,Boomers
Argentina,1997,female,15-24 years,113,3161000,3.57,Argentina1997,"292,859,000,000",9057,Generation X
Argentina,1997,female,25-34 years,72,2474330,2.91,Argentina1997,"292,859,000,000",9057,Generation X
Argentina,1997,male,5-14 years,19,3429860,0.55,Argentina1997,"292,859,000,000",9057,Millenials
Argentina,1997,female,5-14 years,11,3327355,0.33,Argentina1997,"292,859,000,000",9057,Millenials
Argentina,1998,male,75+ years,201,504164,39.87,Argentina1998,"298,948,250,000",9126,G.I. Generation
Argentina,1998,male,55-74 years,518,2274972,22.77,Argentina1998,"298,948,250,000",9126,Silent
Argentina,1998,male,35-54 years,508,3990829,12.73,Argentina1998,"298,948,250,000",9126,Boomers
Argentina,1998,male,15-24 years,327,3243944,10.08,Argentina1998,"298,948,250,000",9126,Generation X
Argentina,1998,male,25-34 years,251,2497189,10.05,Argentina1998,"298,948,250,000",9126,Generation X
Argentina,1998,female,75+ years,53,883724,6,Argentina1998,"298,948,250,000",9126,G.I. Generation
Argentina,1998,female,55-74 years,140,2696429,5.19,Argentina1998,"298,948,250,000",9126,Silent
Argentina,1998,female,15-24 years,114,3200362,3.56,Argentina1998,"298,948,250,000",9126,Generation X
Argentina,1998,female,35-54 years,147,4143203,3.55,Argentina1998,"298,948,250,000",9126,Boomers
Argentina,1998,female,25-34 years,52,2512005,2.07,Argentina1998,"298,948,250,000",9126,Generation X
Argentina,1998,female,5-14 years,20,3353473,0.6,Argentina1998,"298,948,250,000",9126,Millenials
Argentina,1998,male,5-14 years,16,3456965,0.46,Argentina1998,"298,948,250,000",9126,Millenials
Argentina,1999,male,75+ years,204,515800,39.55,Argentina1999,"283,523,000,000",8546,G.I. Generation
Argentina,1999,male,55-74 years,540,2301840,23.46,Argentina1999,"283,523,000,000",8546,Silent
Argentina,1999,male,35-54 years,545,4045105,13.47,Argentina1999,"283,523,000,000",8546,Boomers
Argentina,1999,male,15-24 years,355,3279728,10.82,Argentina1999,"283,523,000,000",8546,Generation X
Argentina,1999,male,25-34 years,265,2543861,10.42,Argentina1999,"283,523,000,000",8546,Generation X
Argentina,1999,female,55-74 years,137,2727054,5.02,Argentina1999,"283,523,000,000",8546,Silent
Argentina,1999,female,75+ years,44,912898,4.82,Argentina1999,"283,523,000,000",8546,G.I. Generation
Argentina,1999,female,35-54 years,141,4200203,3.36,Argentina1999,"283,523,000,000",8546,Boomers
Argentina,1999,female,15-24 years,101,3229424,3.13,Argentina1999,"283,523,000,000",8546,Generation X
Argentina,1999,female,25-34 years,50,2559176,1.95,Argentina1999,"283,523,000,000",8546,Generation X
Argentina,1999,male,5-14 years,21,3482230,0.6,Argentina1999,"283,523,000,000",8546,Millenials
Argentina,1999,female,5-14 years,20,3377543,0.59,Argentina1999,"283,523,000,000",8546,Millenials
Argentina,2000,male,75+ years,232,525161,44.18,Argentina2000,"284,203,750,000",8462,G.I. Generation
Argentina,2000,male,55-74 years,602,2333377,25.8,Argentina2000,"284,203,750,000",8462,Silent
Argentina,2000,male,35-54 years,578,4096814,14.11,Argentina2000,"284,203,750,000",8462,Boomers
Argentina,2000,male,15-24 years,463,3306109,14,Argentina2000,"284,203,750,000",8462,Generation X
Argentina,2000,male,25-34 years,331,2602314,12.72,Argentina2000,"284,203,750,000",8462,Generation X
Argentina,2000,female,55-74 years,133,2760512,4.82,Argentina2000,"284,203,750,000",8462,Silent
Argentina,2000,female,75+ years,43,941957,4.56,Argentina2000,"284,203,750,000",8462,G.I. Generation
Argentina,2000,female,35-54 years,174,4253771,4.09,Argentina2000,"284,203,750,000",8462,Boomers
Argentina,2000,female,15-24 years,116,3249247,3.57,Argentina2000,"284,203,750,000",8462,Generation X
Argentina,2000,female,25-34 years,63,2617723,2.41,Argentina2000,"284,203,750,000",8462,Generation X
Argentina,2000,female,5-14 years,21,3396135,0.62,Argentina2000,"284,203,750,000",8462,Millenials
Argentina,2000,male,5-14 years,18,3502413,0.51,Argentina2000,"284,203,750,000",8462,Millenials
Argentina,2001,male,75+ years,250,547473,45.66,Argentina2001,"268,696,750,000",7900,Silent
Argentina,2001,male,55-74 years,659,2358654,27.94,Argentina2001,"268,696,750,000",7900,Silent
Argentina,2001,male,15-24 years,518,3325440,15.58,Argentina2001,"268,696,750,000",7900,Millenials
Argentina,2001,male,35-54 years,625,4145861,15.08,Argentina2001,"268,696,750,000",7900,Boomers
Argentina,2001,male,25-34 years,375,2675285,14.02,Argentina2001,"268,696,750,000",7900,Generation X
Argentina,2001,female,75+ years,57,978346,5.83,Argentina2001,"268,696,750,000",7900,Silent
Argentina,2001,female,15-24 years,166,3262682,5.09,Argentina2001,"268,696,750,000",7900,Millenials
Argentina,2001,female,55-74 years,137,2788628,4.91,Argentina2001,"268,696,750,000",7900,Silent
Argentina,2001,female,35-54 years,210,4306817,4.88,Argentina2001,"268,696,750,000",7900,Boomers
Argentina,2001,female,25-34 years,82,2690206,3.05,Argentina2001,"268,696,750,000",7900,Generation X
Argentina,2001,male,5-14 years,29,3519935,0.82,Argentina2001,"268,696,750,000",7900,Millenials
Argentina,2001,female,5-14 years,24,3411619,0.7,Argentina2001,"268,696,750,000",7900,Millenials
Argentina,2002,male,75+ years,234,566447,41.31,Argentina2002,"97,724,004,252",2840,Silent
Argentina,2002,male,55-74 years,615,2387478,25.76,Argentina2002,"97,724,004,252",2840,Silent
Argentina,2002,male,15-24 years,542,3331708,16.27,Argentina2002,"97,724,004,252",2840,Millenials
Argentina,2002,male,25-34 years,412,2758283,14.94,Argentina2002,"97,724,004,252",2840,Generation X
Argentina,2002,male,35-54 years,619,4191889,14.77,Argentina2002,"97,724,004,252",2840,Boomers
Argentina,2002,female,55-74 years,179,2819507,6.35,Argentina2002,"97,724,004,252",2840,Silent
Argentina,2002,female,75+ years,58,1012399,5.73,Argentina2002,"97,724,004,252",2840,Silent
Argentina,2002,female,15-24 years,158,3263542,4.84,Argentina2002,"97,724,004,252",2840,Millenials
Argentina,2002,female,35-54 years,194,4355651,4.45,Argentina2002,"97,724,004,252",2840,Boomers
Argentina,2002,female,25-34 years,91,2772560,3.28,Argentina2002,"97,724,004,252",2840,Generation X
Argentina,2002,male,5-14 years,37,3529201,1.05,Argentina2002,"97,724,004,252",2840,Millenials
Argentina,2002,female,5-14 years,23,3418842,0.67,Argentina2002,"97,724,004,252",2840,Millenials
Argentina,2003,male,75+ years,272,581842,46.75,Argentina2003,"127,586,973,492",3668,Silent
Argentina,2003,male,55-74 years,577,2420864,23.83,Argentina2003,"127,586,973,492",3668,Silent
Argentina,2003,male,15-24 years,638,3331226,19.15,Argentina2003,"127,586,973,492",3668,Millenials
Argentina,2003,male,25-34 years,456,2845955,16.02,Argentina2003,"127,586,973,492",3668,Generation X
Argentina,2003,male,35-54 years,625,4237124,14.75,Argentina2003,"127,586,973,492",3668,Boomers
Argentina,2003,female,75+ years,68,1044188,6.51,Argentina2003,"127,586,973,492",3668,Silent
Argentina,2003,female,15-24 years,179,3258029,5.49,Argentina2003,"127,586,973,492",3668,Millenials
Argentina,2003,female,55-74 years,147,2854473,5.15,Argentina2003,"127,586,973,492",3668,Silent
Argentina,2003,female,35-54 years,196,4402438,4.45,Argentina2003,"127,586,973,492",3668,Boomers
Argentina,2003,female,25-34 years,69,2859003,2.41,Argentina2003,"127,586,973,492",3668,Generation X
Argentina,2003,male,5-14 years,37,3531507,1.05,Argentina2003,"127,586,973,492",3668,Millenials
Argentina,2003,female,5-14 years,25,3419258,0.73,Argentina2003,"127,586,973,492",3668,Millenials
Argentina,2004,male,75+ years,227,593409,38.25,Argentina2004,"164,657,930,453",4683,Silent
Argentina,2004,male,55-74 years,500,2459960,20.33,Argentina2004,"164,657,930,453",4683,Silent
Argentina,2004,male,15-24 years,653,3333328,19.59,Argentina2004,"164,657,930,453",4683,Millenials
Argentina,2004,male,25-34 years,445,2930079,15.19,Argentina2004,"164,657,930,453",4683,Generation X
Argentina,2004,male,35-54 years,599,4284709,13.98,Argentina2004,"164,657,930,453",4683,Boomers
Argentina,2004,female,15-24 years,159,3255244,4.88,Argentina2004,"164,657,930,453",4683,Millenials
Argentina,2004,female,55-74 years,136,2895423,4.7,Argentina2004,"164,657,930,453",4683,Silent
Argentina,2004,female,75+ years,50,1073648,4.66,Argentina2004,"164,657,930,453",4683,Silent
Argentina,2004,female,35-54 years,185,4450210,4.16,Argentina2004,"164,657,930,453",4683,Boomers
Argentina,2004,female,25-34 years,99,2940630,3.37,Argentina2004,"164,657,930,453",4683,Generation X
Argentina,2004,male,5-14 years,43,3530061,1.22,Argentina2004,"164,657,930,453",4683,Millenials
Argentina,2004,female,5-14 years,25,3416244,0.73,Argentina2004,"164,657,930,453",4683,Millenials
Argentina,2005,male,75+ years,225,601176,37.43,Argentina2005,"198,737,095,012",5590,Silent
Argentina,2005,male,55-74 years,489,2505136,19.52,Argentina2005,"198,737,095,012",5590,Silent
Argentina,2005,male,15-24 years,638,3343414,19.08,Argentina2005,"198,737,095,012",5590,Millenials
Argentina,2005,male,25-34 years,451,3004991,15.01,Argentina2005,"198,737,095,012",5590,Generation X
Argentina,2005,male,35-54 years,539,4336453,12.43,Argentina2005,"198,737,095,012",5590,Boomers
Argentina,2005,female,55-74 years,161,2943135,5.47,Argentina2005,"198,737,095,012",5590,Silent
Argentina,2005,female,75+ years,59,1101024,5.36,Argentina2005,"198,737,095,012",5590,Silent
Argentina,2005,female,15-24 years,148,3260468,4.54,Argentina2005,"198,737,095,012",5590,Millenials
Argentina,2005,female,35-54 years,171,4500787,3.8,Argentina2005,"198,737,095,012",5590,Boomers
Argentina,2005,female,25-34 years,104,3011376,3.45,Argentina2005,"198,737,095,012",5590,Generation X
Argentina,2005,male,5-14 years,52,3528848,1.47,Argentina2005,"198,737,095,012",5590,Millenials
Argentina,2005,female,5-14 years,21,3413809,0.62,Argentina2005,"198,737,095,012",5590,Millenials
Argentina,2006,male,75+ years,246,620010,39.68,Argentina2006,"232,557,260,817",6475,Silent
Argentina,2006,male,15-24 years,656,3357424,19.54,Argentina2006,"232,557,260,817",6475,Millenials
Argentina,2006,male,55-74 years,487,2540712,19.17,Argentina2006,"232,557,260,817",6475,Silent
Argentina,2006,male,25-34 years,483,3068991,15.74,Argentina2006,"232,557,260,817",6475,Generation X
Argentina,2006,male,35-54 years,585,4383730,13.34,Argentina2006,"232,557,260,817",6475,Boomers
Argentina,2006,female,15-24 years,175,3271703,5.35,Argentina2006,"232,557,260,817",6475,Millenials
Argentina,2006,female,55-74 years,115,2983954,3.85,Argentina2006,"232,557,260,817",6475,Silent
Argentina,2006,female,35-54 years,160,4549471,3.52,Argentina2006,"232,557,260,817",6475,Boomers
Argentina,2006,female,25-34 years,105,3070419,3.42,Argentina2006,"232,557,260,817",6475,Generation X
Argentina,2006,female,75+ years,31,1132977,2.74,Argentina2006,"232,557,260,817",6475,Silent
Argentina,2006,male,5-14 years,39,3527369,1.11,Argentina2006,"232,557,260,817",6475,Millenials
Argentina,2006,female,5-14 years,26,3412126,0.76,Argentina2006,"232,557,260,817",6475,Millenials
Argentina,2007,male,75+ years,225,634995,35.43,Argentina2007,"287,530,508,431",7918,Silent
Argentina,2007,male,15-24 years,577,3381171,17.07,Argentina2007,"287,530,508,431",7918,Millenials
Argentina,2007,male,55-74 years,438,2582754,16.96,Argentina2007,"287,530,508,431",7918,Silent
Argentina,2007,male,25-34 years,490,3125322,15.68,Argentina2007,"287,530,508,431",7918,Generation X
Argentina,2007,male,35-54 years,571,4436541,12.87,Argentina2007,"287,530,508,431",7918,Boomers
Argentina,2007,female,15-24 years,146,3292790,4.43,Argentina2007,"287,530,508,431",7918,Millenials
Argentina,2007,female,25-34 years,126,3120162,4.04,Argentina2007,"287,530,508,431",7918,Generation X
Argentina,2007,female,55-74 years,108,3033008,3.56,Argentina2007,"287,530,508,431",7918,Silent
Argentina,2007,female,35-54 years,155,4601874,3.37,Argentina2007,"287,530,508,431",7918,Boomers
Argentina,2007,female,75+ years,31,1161794,2.67,Argentina2007,"287,530,508,431",7918,Silent
Argentina,2007,male,5-14 years,45,3530454,1.27,Argentina2007,"287,530,508,431",7918,Generation Z
Argentina,2007,female,5-14 years,34,3414627,1,Argentina2007,"287,530,508,431",7918,Generation Z
Argentina,2008,male,75+ years,208,646185,32.19,Argentina2008,"361,558,037,110",9843,Silent
Argentina,2008,male,15-24 years,625,3410092,18.33,Argentina2008,"361,558,037,110",9843,Millenials
